[15:40:33] [INFO] received Windows console close event; shutting log-core down
[16:01:11] [INFO] received Windows console close event; shutting log-core down
[16:45:26] [INFO] received Windows console close event; shutting log-core down
[16:50:02] [INFO] received Windows console close event; shutting log-core down
[16:56:14] [INFO] received Windows console close event; shutting log-core down
[16:56:23] [INFO] received Windows console close event; shutting log-core down
[16:57:52] [INFO] received Windows console close event; shutting log-core down
[17:18:43] [INFO] received Windows console close event; shutting log-core down
[21:33:27] [INFO] received Windows console close event; shutting log-core down
[22:21:08] [INFO] received Windows console close event; shutting log-core down
[12:04:38] [INFO] received Windows console close event; shutting log-core down
[12:09:58] [INFO] received Windows console close event; shutting log-core down
[12:27:53] [INFO] received Windows console close event; shutting log-core down
[12:41:22] [INFO] received Windows console close event; shutting log-core down
[12:42:57] [INFO] received Windows console close event; shutting log-core down
[12:52:42] [INFO] received Windows console close event; shutting log-core down
[21:12:11] [INFO] received Windows console close event; shutting log-core down
[21:15:13] [INFO] received Windows console close event; shutting log-core down
[21:15:18] [INFO] received Windows console close event; shutting log-core down
[21:21:44] [INFO] received Windows console close event; shutting log-core down
[21:32:58] [INFO] received Windows console close event; shutting log-core down
[21:42:04] [INFO] received Windows console close event; shutting log-core down
[22:00:58] [INFO] received Windows console close event; shutting log-core down
[01:06:08] [INFO] received Windows console close event; shutting log-core down
[01:46:27] [INFO] received Windows console close event; shutting log-core down
[01:53:50] [INFO] received Windows console close event; shutting log-core down
[02:05:15] [INFO] received Windows console close event; shutting log-core down
[14:28:35] [INFO] received Windows console close event; shutting log-core down
[14:35:29] [INFO] received Windows console close event; shutting log-core down
[14:48:13] [INFO] received Windows console close event; shutting log-core down
[15:32:22] [INFO] received Windows console close event; shutting log-core down
[10:46:04] [INFO] received Windows console close event; shutting log-core down
[10:53:49] [INFO] received Windows console close event; shutting log-core down
[22:34:27] [INFO] received Windows console close event; shutting log-core down
[16:29:12] [INFO] received Windows console close event; shutting log-core down
[20:43:05] [INFO] received Windows console close event; shutting log-core down
[19:44:29] [INFO] received Windows console close event; shutting log-core down
[21:48:12] [INFO] received Windows console close event; shutting log-core down
[17:46:14] [INFO] received Windows console close event; shutting log-core down
[14:43:47] [INFO] received Windows console close event; shutting log-core down
[14:53:30] [INFO] received Windows console close event; shutting log-core down
[15:04:53] [INFO] received Windows console close event; shutting log-core down
[21:28:41] [INFO] received Windows console close event; shutting log-core down
[09:27:21] [INFO] received Windows console close event; shutting log-core down
[09:45:23] [INFO] received Windows console close event; shutting log-core down
[09:45:25] [INFO] received Windows console close event; shutting log-core down
[09:50:28] [INFO] received Windows console close event; shutting log-core down
[16:59:39] [INFO] received Windows console close event; shutting log-core down
[03:32:55] [INFO] received Windows console close event; shutting log-core down
[03:39:08] [INFO] received Windows console close event; shutting log-core down
[03:44:50] [INFO] received Windows console close event; shutting log-core down
[03:50:39] [INFO] received Windows console close event; shutting log-core down
[03:50:40] [INFO] received Windows console close event; shutting log-core down
[03:52:07] [INFO] received Windows console close event; shutting log-core down
[03:52:56] [INFO] received Windows console close event; shutting log-core down
[16:16:43] [INFO] received Windows console close event; shutting log-core down
[16:02:24] [INFO] received Windows console close event; shutting log-core down
